Digimon Jokers,Stage,Effects,Can evolve to,Shop Availability,Digivolution Requirement,Branch / Notes,Internal Key,Atlas X,Atlas Y
Botamon,Fresh,+2 Mult,Koromon,Shop,Full Bond + compatible Digivice,,botamon,0,0
Koromon,In-Training,+4 Mult,Agumon,Shop,Full Bond + compatible Digivice,,koromon,0,0
Agumon,Rookie,+6 Mult,"Greymon, Tyrannomon, Numemon",Shop,Full Bond + compatible Digivice,Greymon: Standard / always viable at full Bond | Tyrannomon: Hunger 2+ | Numemon: Care Crisis (3 Care Mistakes),agumon,0,0
Greymon,Champion,X2 Mult if played hand contains [Rank] (rank changes at end of round),"MetalGreymon, SkullGreymon",Very rare in Shop,Full Bond + compatible Digivice,MetalGreymon: Standard / always viable at full Bond | SkullGreymon: Care Crisis (3 Care Mistakes),greymon,0,0
MetalGreymon,Ultimate,X3 Mult,"WarGreymon, Machinedramon",Not obtainable in Shop,Full Bond + compatible Digivice,WarGreymon: Standard / always viable at full Bond | Machinedramon: Care Mistakes 1+,metalgreymon,0,0
SkullGreymon,Ultimate,Gain X0.25 Mult every time a card is destroyed,BlackWarGreymon,Not obtainable in Shop,Full Bond + compatible Digivice,,skullgreymon,0,0
Tyrannomon,Champion,X2 Mult if played hand contains [Suit] (suit changes at end of round),"MetalGreymon, SkullGreymon",Very rare in Shop,Full Bond + compatible Digivice,MetalGreymon: Standard / always viable at full Bond | SkullGreymon: Care Crisis (3 Care Mistakes),tyrannomon,0,0
Numemon,Champion,X2 Mult (-X0.01 Mult for every discarded card),Garbagemon,Very rare in Shop,Full Bond + compatible Digivice,,numemon,0,0
Garbagemon,Ultimate,Gain X0.75 Mult for every [Rank] Discarded. Reset at the end of the round (rank changes at end of round),-,Not obtainable in Shop,—,,garbagemon,0,0
WarGreymon,Mega,Gain X0.5 Mult for every [Rank] of [Suit] Played (Upgrade limited once per card including retrigger) (card changes at end of round),-,Not obtainable in Shop,—,,wargreymon,0,0
Machinedramon,Mega,Gain X0.5 Mult for every [Rank] of [Suit] Held in hand at the end of the round (card changes at end of round),-,Not obtainable in Shop,—,,machinedramon,0,0
BlackWarGreymon,Mega,Gain X0.5 Mult every time a card is destroyed,-,Not obtainable in Shop,—,,blackwargreymon,0,0
Jyarimon,Fresh,+8 Mult if played hand contains a Pair,Gigimon,Shop,Full Bond + compatible Digivice,,jyarimon,0,0
Gigimon,In-Training,+9 Mult if played hand contains Two Pair,Guilmon,Shop,Full Bond + compatible Digivice,,gigimon,0,0
Guilmon,Rookie,+10 Mult if played hand contains a Flush,"Growlmon, Numemon, Monochromon",Shop,Full Bond + compatible Digivice,Growlmon: Standard / always viable at full Bond | Numemon: Care Crisis (3 Care Mistakes) | Monochromon: Hunger 2+,guilmon,0,0
Growlmon,Champion,+17 Mult if played hand contains Four of a Kind,"WarGrowlmon, Megadramon, Gigadramon",Very rare in Shop,Full Bond + compatible Digivice,WarGrowlmon: Standard / always viable at full Bond | Megadramon: Hunger 3+ | Gigadramon: Care Mistakes 1+,growlmon,0,0
Monochromon,Champion,Add to Mult the highest valued card in played hand and make it gold,"Mammothmon, Triceramon",Very rare in Shop,Full Bond + compatible Digivice,Mammothmon: Standard / always viable at full Bond | Triceramon: Hunger 3+,monochromon,0,0
WarGrowlmon,Ultimate,Gain +10 Mult every time [poker hand] is played (poker hand changes at end of round),"Gallantmon, BlackWarGreymon",Not obtainable in Shop,Full Bond + compatible Digivice,Gallantmon: Standard / always viable at full Bond | BlackWarGreymon: Care Crisis (3 Care Mistakes),wargrowlmon,0,0
Megadramon,Ultimate,Make the non-enhanced highest value card and all of its rank held in hand into steel cards,"Machinedramon, BlackWarGreymon",Not obtainable in Shop,Full Bond + compatible Digivice,Machinedramon: Standard / always viable at full Bond | BlackWarGreymon: Care Crisis (3 Care Mistakes),megadramon,0,0
Gigadramon,Ultimate,Add to Mult double the lowest valued card held in hand,"Machinedramon, BlackWarGreymon",Not obtainable in Shop,Full Bond + compatible Digivice,Machinedramon: Standard / always viable at full Bond | BlackWarGreymon: Care Crisis (3 Care Mistakes),gigadramon,0,0
Mammothmon,Ultimate,"If the played hand contains scoring Diamond, Club, Heart, and Spade, gain $20, +50 Chips and X2 Mult",Vikemon,Not obtainable in Shop,Full Bond + compatible Digivice,,mammothmon,0,0
Triceramon,Ultimate,X4 Mult if played hand contains [poker hand] (poker hand changes every hand),"WarGreymon, BlackWarGreymon, HeavyLeomon",Not obtainable in Shop,Full Bond + compatible Digivice,WarGreymon: Standard / always viable at full Bond | BlackWarGreymon: Care Crisis (3 Care Mistakes) | HeavyLeomon: Hunger 3+,triceramon,0,0
Gallantmon,Mega,X[1/3 of the previous values of this card when it was unevolved] Mult,-,Not obtainable in Shop,—,,gallantmon,0,0
Cotsucomon,Fresh,Reduce score requirement to beat small and big blind by 2%,Kakkinmon,Shop,Full Bond + compatible Digivice,,cotsucomon,0,0
Kakkinmon,In-Training,Reduce score requirement to beat small and big blind by 3%,Ludomon,Shop,Full Bond + compatible Digivice,,kakkinmon,0,0
Ludomon,Rookie,Reduce score requirement to beat small and big blind by 5%,TiaLudomon,Shop,Full Bond + compatible Digivice,,ludomon,0,0
TiaLudomon,Champion,Reduce score requirement to beat any blind by 10%,"RaijiLudomon, Knightmon",Very rare in Shop,Full Bond + compatible Digivice,RaijiLudomon: Standard / always viable at full Bond | Knightmon: Care Mistakes 1+,tialudomon,0,0
RaijiLudomon,Ultimate,Reduce score requirement to beat any blind by 25%,BryweLudramon,Not obtainable in Shop,Full Bond + compatible Digivice,,raijiludomon,0,0
Knightmon,Ultimate,Gain +6 Mult for every hand played that does not win,Gallantmon,Not obtainable in Shop,Full Bond + compatible Digivice,,knightmon,0,0
BryweLudramon,Mega,Disable boss blind,-,Not obtainable in Shop,—,,bryweludramon,0,0
Punimon,Fresh,+20 Chips,Tsunomon,Shop,Full Bond + compatible Digivice,,punimon,0,0
Tsunomon,In-Training,+90 Chips (-5 Chips per discard used),Gabumon,Shop,Full Bond + compatible Digivice,,tsunomon,0,0
Gabumon,Rookie,Gain +8 Chips if hand played contains a scoring face card after a scoring numbered card,"Garurumon, Numemon, Leomon, MadLeomon",Shop,Full Bond + compatible Digivice,Garurumon: Standard / always viable at full Bond | Numemon: Care Crisis (3 Care Mistakes) | Leomon: Hunger 2+ | MadLeomon: Care Mistakes = 2,gabumon,0,0
